Indicator,Day,High,Low,Average,Confidence,Accuracy,Weight,ExecutionTime
EMA,1,119864.63,117865.17,118864.90,78.8%,78.0%,0.150,4ms
EMA,2,120053.13,118050.52,119051.83,72.5%,78.0%,0.150,4ms
EMA,3,120194.32,118189.36,119191.84,66.7%,78.0%,0.150,4ms
EMA,4,120296.56,118289.89,119293.23,61.4%,78.0%,0.150,4ms
EMA,5,120366.96,118359.12,119363.04,56.5%,78.0%,0.150,4ms
EMA,6,120411.52,118402.93,119407.23,52.0%,78.0%,0.150,4ms
EMA,7,120435.31,118426.32,119430.82,47.8%,78.0%,0.150,4ms
EMA,8,120442.56,118433.46,119438.01,44.0%,78.0%,0.150,4ms
EMA,9,120436.83,118427.82,119432.32,40.5%,78.0%,0.150,4ms
EMA,10,120421.05,118412.30,119416.67,40.0%,78.0%,0.150,4ms
BOLLINGER,1,112953.91,113433.15,117845.81,79.1%,76.0%,0.110,3ms
BOLLINGER,2,113981.27,112654.75,117200.10,73.7%,76.0%,0.110,3ms
BOLLINGER,3,115008.64,111987.98,116666.77,68.6%,76.0%,0.110,3ms
BOLLINGER,4,116036.00,111417.89,116230.76,63.9%,76.0%,0.110,3ms
BOLLINGER,5,117063.37,110931.54,115879.00,59.5%,76.0%,0.110,3ms
BOLLINGER,6,118090.73,110517.67,115600.13,55.4%,76.0%,0.110,3ms
BOLLINGER,7,119118.10,110166.49,115384.24,51.6%,76.0%,0.110,3ms
BOLLINGER,8,120145.47,110212.58,115222.67,48.0%,76.0%,0.110,3ms
BOLLINGER,9,120596.54,110607.55,115107.86,44.7%,76.0%,0.110,3ms
BOLLINGER,10,120657.27,111002.52,115033.18,41.6%,76.0%,0.110,3ms
MACD,1,120168.84,117833.46,119001.15,90.0%,75.0%,0.130,4ms
MACD,2,120495.01,118153.28,119324.14,81.9%,75.0%,0.130,4ms
MACD,3,120769.95,118422.88,119596.42,74.1%,75.0%,0.130,4ms
MACD,4,120999.31,118647.78,119823.55,67.0%,75.0%,0.130,4ms
MACD,5,121188.22,118833.03,120010.62,60.7%,75.0%,0.130,4ms
MACD,6,121341.37,118983.19,120162.28,54.9%,75.0%,0.130,4ms
MACD,7,121462.98,119102.44,120282.71,49.7%,75.0%,0.130,4ms
MACD,8,121556.89,119194.53,120375.71,44.9%,75.0%,0.130,4ms
MACD,9,121626.55,119262.84,120444.69,40.7%,75.0%,0.130,4ms
MACD,10,121675.08,119310.43,120492.76,36.8%,75.0%,0.130,4ms
VWAP,1,119624.70,117629.24,118626.97,68.1%,74.0%,0.080,2ms
VWAP,2,119629.66,117634.11,118631.88,62.6%,74.0%,0.080,2ms
VWAP,3,119633.95,117638.33,118636.14,57.6%,74.0%,0.080,2ms
VWAP,4,119637.64,117641.96,118639.80,53.0%,74.0%,0.080,2ms
VWAP,5,119640.80,117645.07,118642.93,48.8%,74.0%,0.080,2ms
VWAP,6,119643.47,117647.70,118645.58,44.9%,74.0%,0.080,2ms
VWAP,7,119645.71,117649.90,118647.80,41.3%,74.0%,0.080,2ms
VWAP,8,119647.56,117651.71,118649.63,38.0%,74.0%,0.080,2ms
VWAP,9,119649.05,117653.18,118651.12,35.0%,74.0%,0.080,2ms
VWAP,10,119650.24,117654.35,118652.29,32.2%,74.0%,0.080,2ms
ICHIMOKU,1,119997.86,117665.80,118831.83,79.9%,73.0%,0.070,2ms
ICHIMOKU,2,120181.57,117845.94,119013.75,75.0%,73.0%,0.070,2ms
ICHIMOKU,3,120339.28,118000.58,119169.93,70.5%,73.0%,0.070,2ms
ICHIMOKU,4,120473.62,118132.31,119302.97,66.2%,73.0%,0.070,2ms
ICHIMOKU,5,120587.00,118243.49,119415.25,62.2%,73.0%,0.070,2ms
ICHIMOKU,6,120681.62,118336.27,119508.95,58.4%,73.0%,0.070,2ms
ICHIMOKU,7,120759.49,118412.62,119586.06,54.9%,73.0%,0.070,2ms
ICHIMOKU,8,120822.42,118474.34,119648.38,51.6%,73.0%,0.070,2ms
ICHIMOKU,9,120872.10,118523.05,119697.57,48.4%,73.0%,0.070,2ms
ICHIMOKU,10,120910.02,118560.23,119735.12,45.5%,73.0%,0.070,2ms
RSI,1,116103.67,114487.48,115295.58,84.2%,72.0%,0.120,4ms
RSI,2,112775.20,111205.34,111990.27,78.8%,72.0%,0.120,4ms
RSI,3,109577.15,108051.81,108814.48,73.7%,72.0%,0.120,4ms
RSI,4,106582.13,105098.48,105840.30,68.9%,72.0%,0.120,4ms
RSI,5,103834.53,102389.13,103111.83,64.5%,72.0%,0.120,4ms
RSI,6,101358.00,99947.07,100652.53,60.3%,72.0%,0.120,4ms
RSI,7,99161.36,97781.01,98471.19,56.4%,72.0%,0.120,4ms
RSI,8,97243.20,95889.55,96566.37,52.8%,72.0%,0.120,4ms
RSI,9,95595.23,94264.52,94929.87,49.4%,72.0%,0.120,4ms
RSI,10,94204.80,92893.45,93549.12,46.2%,72.0%,0.120,4ms
PARABOLIC_SAR,1,120851.96,118836.03,119844.00,72.8%,71.0%,0.080,2ms
PARABOLIC_SAR,2,121808.99,119777.09,120793.04,61.6%,71.0%,0.080,2ms
PARABOLIC_SAR,3,122532.76,120488.79,121510.77,52.1%,71.0%,0.080,2ms
PARABOLIC_SAR,4,123061.36,121008.56,122034.96,44.1%,71.0%,0.080,2ms
PARABOLIC_SAR,5,123428.31,121369.40,122398.86,37.4%,71.0%,0.080,2ms
PARABOLIC_SAR,6,123662.81,121599.99,122631.40,31.6%,71.0%,0.080,2ms
PARABOLIC_SAR,7,123789.97,121725.02,122757.50,30.0%,71.0%,0.080,2ms
PARABOLIC_SAR,8,123831.23,121765.60,122798.41,30.0%,71.0%,0.080,2ms
PARABOLIC_SAR,9,123804.72,121739.53,122772.12,30.0%,71.0%,0.080,2ms
PARABOLIC_SAR,10,123725.67,121661.80,122693.73,30.0%,71.0%,0.080,2ms
SMA,1,119954.44,118284.65,119119.55,80.4%,70.0%,0.100,3ms
SMA,2,120393.66,118717.76,119555.71,76.1%,70.0%,0.100,3ms
SMA,3,120775.87,119094.64,119935.26,72.0%,70.0%,0.100,3ms
SMA,4,121106.18,119420.35,120263.26,68.1%,70.0%,0.100,3ms
SMA,5,121389.36,119699.60,120544.48,64.4%,70.0%,0.100,3ms
SMA,6,121629.87,119936.75,120783.31,60.9%,70.0%,0.100,3ms
SMA,7,121831.81,120135.89,120983.85,57.6%,70.0%,0.100,3ms
SMA,8,121999.00,120300.75,121149.87,54.5%,70.0%,0.100,3ms
SMA,9,122134.95,120434.80,121284.87,51.6%,70.0%,0.100,3ms
SMA,10,122242.89,120541.24,121392.06,48.8%,70.0%,0.100,3ms
STOCHASTIC,1,118886.31,116903.17,117894.74,76.8%,68.0%,0.090,3ms
STOCHASTIC,2,118298.68,116325.34,117312.01,67.8%,68.0%,0.090,3ms
STOCHASTIC,3,117833.37,115867.78,116850.57,59.8%,68.0%,0.090,3ms
STOCHASTIC,4,117471.13,115511.59,116491.36,52.8%,68.0%,0.090,3ms
STOCHASTIC,5,117195.66,115240.71,116218.18,46.6%,68.0%,0.090,3ms
STOCHASTIC,6,116993.08,115041.51,116017.30,41.1%,68.0%,0.090,3ms
STOCHASTIC,7,116851.58,114902.37,115876.98,36.3%,68.0%,0.090,3ms
STOCHASTIC,8,116761.06,114813.36,115787.21,32.0%,68.0%,0.090,3ms
STOCHASTIC,9,116712.90,114766.01,115739.46,30.0%,68.0%,0.090,3ms
STOCHASTIC,10,116699.73,114753.06,115726.40,30.0%,68.0%,0.090,3ms
ADX,1,119466.63,117803.63,118635.13,61.5%,66.0%,0.070,3ms
ADX,2,119478.84,117815.67,118647.26,57.2%,66.0%,0.070,3ms
ADX,3,119489.53,117826.21,118657.87,53.3%,66.0%,0.070,3ms
ADX,4,119498.82,117835.37,118667.10,49.6%,66.0%,0.070,3ms
ADX,5,119506.86,117843.30,118675.08,46.2%,66.0%,0.070,3ms
ADX,6,119513.75,117850.09,118681.92,43.0%,66.0%,0.070,3ms
ADX,7,119519.61,117855.87,118687.74,40.0%,66.0%,0.070,3ms
ADX,8,119524.54,117860.73,118692.63,37.3%,66.0%,0.070,3ms
ADX,9,119528.62,117864.76,118696.69,34.7%,66.0%,0.070,3ms
ADX,10,119531.95,117868.04,118699.99,32.3%,66.0%,0.070,3ms